"uniprot_id","O_S05_Pre","O_S06_Pre","O_S07_Pre","O_S10_Pre","O_S16_Pre","O_S17_Pre","O_S24_Pre","O_S28_Pre","O_S29_Pre","O_S32_Pre","O_S35_Pre","O_S05_Post","O_S06_Post","O_S07_Post","O_S10_Post","O_S16_Post","O_S17_Post","O_S24_Post","O_S28_Post","O_S29_Post","O_S32_Post","O_S35_Post","logFC","P.Value","adj.P.Val","sig.PVal","sig.FDR"
"A0A0U1RRL7",16.0547267234563,17.2647333753781,15.1296917420822,NA,16.3394960659837,16.3244018070955,16.4483783889738,16.3368210383219,16.9356611005649,16.1881566085458,17.7973988857877,17.1568591972982,16.1305847271557,16.347360294309,NA,16.7923493119299,16.5412966853112,16.3940050240569,16.00403929851,15.1228179422209,15.739398924258,16.3645658413643,0.0382726312232471,0.942622340111614,0.990192879028667,0,0
"A0FGR8",16.6964160701522,16.9957316992607,16.8223828254004,16.8734121910642,16.6709767403972,17.3792493880235,17.1289740911908,16.9148436749843,16.9399133499958,17.1826361693545,16.8390860465644,16.609870882335,16.8898685643695,17.1332828041226,16.5922756067084,17.1211611154793,17.0827465807555,17.348594776476,NA,17.3522017608711,16.7988491636374,17.2506468844005,-0.172067977381396,0.450986799270018,0.984534738947309,0,0
"A1L4K1",17.5432838667902,17.9072183301792,17.8980281540626,17.2777845986192,17.9123766245004,17.8508005384115,16.3197946987924,18.4597937939642,17.9893139622334,17.4369243173044,17.634211212663,17.7629554116381,17.8751889965318,18.1544156714432,17.3395296499446,17.9615726142478,17.6684601901277,18.0210765455125,18.0349444961485,17.4264176554274,18.0014558628683,17.6428386825337,-0.101724284144407,0.774695894751312,0.984534738947309,0,0
"A2RTX5",15.8020510631357,15.9937997619635,14.9972693009792,NA,15.3259289955944,15.8042754488606,14.573494408559,15.5996815044816,15.7440746845233,15.9443467692117,16.0295989918234,15.893793383666,15.6129845809334,15.8561985211814,15.0421472465838,15.297736879146,15.721696979819,15.7241338860973,15.2697795621984,15.1780012727962,15.3317979328269,15.1542822178734,-0.507827834488994,0.10336045842315,0.984534738947309,0,0
"A5YM72",18.8538804355266,19.5108090772238,19.231463499212,NA,NA,19.9336901598046,19.4422521671498,19.2985422715569,NA,20.788145779643,19.4536592142765,20.0746346142848,20.6491004226234,20.6378173694814,18.8919851630255,18.8397501141848,20.8383641638486,20.547879445326,20.7026241193787,19.6471758040482,19.5322488043756,19.9746143611971,-0.511040517330127,0.391715108483405,0.984534738947309,0,0
"A6NCE7",20.4820046936701,20.9242985143108,20.1221347885931,20.6019008964318,20.8128495174472,20.7419197831265,20.1547386415892,NA,21.034189121228,20.9235510331776,20.8928221005714,20.1557177900365,20.922829329763,NA,20.0770031162096,20.849454169282,20.7064264998645,20.8373300684248,NA,20.7406754287999,21.1671760127831,20.8045080429183,-0.0920420216457707,0.757718818763841,0.984534738947309,0,0
"A6NDG6",22.5291059289765,23.2148161474852,22.9412893005431,22.8234243403805,23.188885118695,23.0843733960306,23.094669478465,23.2143741787285,23.1000918746657,23.2633378359854,22.8326399270981,22.8520482589095,22.700246913802,22.8439963923258,22.8371300369806,23.1882618477167,23.2294789125883,22.80579311517,23.3240064413985,23.1342298126088,23.1968136654688,23.0396002794593,0.0612872621387872,0.759379049895081,0.984534738947309,0,0
"A6NNS2",21.7757001841642,21.2912817039308,22.0041650360097,21.6548592804161,21.8286333375257,21.515992006655,20.9020892925125,21.9328261517942,21.3289954893579,21.8226871401262,21.4457572997052,21.5616156488841,21.1977538578206,21.6119886122312,21.3212540451617,21.5449905509143,20.884220302449,21.4478636895944,21.9518095543821,22.2139104043102,21.3658007795881,21.0882409250204,-0.484349812356275,0.0829674530356857,0.984534738947309,0,0
"A8MU46",24.0375980590775,22.2856866018446,23.8501515552031,23.8523471132998,23.4036877899777,23.4840226193457,23.7087693550537,23.7300476320893,23.5011585367242,23.2257285335476,23.2934073625975,23.5466767610874,22.7421604007812,23.0551839814225,24.282441228656,22.9072432221154,22.8040347075039,23.4820437662248,22.8575969069342,23.9895238500178,24.0737908599678,23.8456882837361,0.226714103289819,0.574407221193641,0.984534738947309,0,0
"A8MXV4",16.6120380624048,17.2121418013816,NA,16.1179352669288,NA,16.0440599858402,16.4336556096517,16.3345859483373,17.4055451629379,17.3967826909621,17.9516783625743,17.2547932517259,17.429441135077,16.5063171268971,16.8452081131853,16.8309708377878,17.1522610764629,17.0850345637488,16.7346012608903,NA,15.7772387285313,16.7285992849023,-0.424393549470373,0.393791933765542,0.984534738947309,0,0
"E9PAV3",23.7505417849934,23.2905999066691,23.4629574125634,23.5450022028516,23.3361667704998,23.4615583838048,23.3090237909819,23.5287220897055,23.6781575414938,23.4716924930393,23.5518326694371,23.6224060142882,23.7807927127326,23.4707914737947,23.6131911206711,23.2426897756218,23.5733737822675,23.7897844350853,23.3396531049994,23.3347789727362,23.5465679402668,23.8470552038362,0.120215022823484,0.48882587270065,0.984534738947309,0,0
"L0R6Q1",18.9379311097118,18.701223051428,17.7670453840272,18.5692462045996,18.4560113524937,18.4052097494904,18.1755968415099,NA,18.5353549113032,17.7783482889495,18.9101348818373,18.3183733484147,18.2990204655438,18.1694303327774,18.3482981922849,19.1265071935838,18.473304826895,NA,18.7032128407828,NA,18.8231687854796,18.6606371863473,-0.0585996265980278,0.860236414235785,0.984534738947309,0,0
"O00151",23.1949535747956,23.4419799909064,21.2212367310058,23.1139588040303,23.974860124682,23.0158596453917,22.6800746365993,22.255255339632,23.659534947062,22.7326646303858,23.4636961120679,23.1365674125494,23.6969109143778,22.4540732411804,22.2859262915072,23.9053896471048,23.1691708944119,22.8967167336086,21.8162006298137,22.3585302364811,22.8934686334567,22.7115374055248,0.171894470013683,0.699419645818147,0.984534738947309,0,0
"O00159",19.1558581752684,18.8956233263473,18.2470259540806,17.9481506445268,18.8562240807614,18.725282899211,17.8593436288019,18.6508555569521,18.9071052757058,18.7223888856102,18.7568866237868,18.4091471126465,18.4266651106137,18.0033278877924,18.2901669496306,18.5713201498888,18.4856822862094,18.7743664112358,18.6741087464482,18.5183928849054,18.8727622874255,18.1200354545535,-0.500684962263634,0.0557231911091312,0.984534738947309,0,0
"O00168",19.144520552155,19.8432573492581,NA,18.7313503476002,18.5122721781826,20.0384861152905,18.6256441541453,20.0405335607869,19.5584555786641,19.9948350368249,19.5188844179516,19.398384183535,20.1996312669109,20.0596423899399,19.3427970111296,19.4286654747564,19.86358596385,18.7875905694195,19.0544978979785,19.3192363710837,19.0428622806529,20.1870481925204,0.119869575662488,0.785009391727213,0.984534738947309,0,0
"O00186",18.5222659373546,18.1307445302889,18.3796107298349,18.7383860115108,17.8592864495053,18.4441152161209,18.1173125573556,18.7207399404585,18.3098220104146,18.1047426870929,17.7909467256969,18.369964496079,18.1230167420912,18.5183927392787,NA,17.8737439763318,18.3458215919197,18.3910448836753,17.9447592366593,18.7904958927567,18.7542369842039,18.5114612009257,0.223719418569427,0.398375889535236,0.984534738947309,0,0
"O00217",22.4594495412081,23.6412806597284,22.0504892486395,22.8192040839661,23.0848667241811,22.0699878321753,22.3635421286431,22.6277869858438,22.7326910465486,22.8106370749322,22.9911329913153,23.2635429732426,22.6212946027417,23.2616119239365,23.2210157035965,22.9858044819559,22.5031798294439,22.7133849776292,22.6922812660104,22.6238157878304,22.6366051251894,22.4173838557539,-0.488603225607839,0.132421876741211,0.984534738947309,0,0
