module,compartment,odds_ratio,p_raw,n_overlap,n_module,n_compartment,n_universe,p_bh
turquoise,Mitochondria,5.643846599789588,1.4882185125173693e-32,132,276,325,1659,1.071517329012506e-30
green,Mitochondria,9.084448981847148,1.1739789180553264e-28,77,121,325,1659,4.2263241049991746e-27
pink,Mitochondria,7.985329497267943,7.589690646245894e-15,40,63,325,1659,1.8215257550990147e-13
red,Endoplasmic reticulum,6.706258117069149,1.1665003338312081e-11,28,81,143,1659,2.0997006008961745e-10
magenta,Endoplasmic reticulum,5.947347209680624,6.938371605508059e-8,19,57,143,1659,9.991255111931606e-7
blue,Cytosol,1.805579199802655,2.5425697444123838e-5,117,229,641,1659,3.0510836932948605e-4
red,Cytosol,2.54886492088961,3.702941034625302e-5,49,81,641,1659,3.808739349900311e-4
yellow,Cytoskeleton,3.1433217324352793,3.508321720337889e-4,16,134,79,1659,0.002806657376270311
brown,Cytosol,1.681926553727611,3.3468978701094984e-4,103,207,641,1659,0.002806657376270311
magenta,Cytosol,2.4218459470555938,8.761636883161362e-4,34,57,641,1659,0.006308378555876181
black,Endoplasmic reticulum,2.4781694257590834,0.008758652773326991,12,66,143,1659,0.05732936360723122
yellow,Golgi apparatus,2.3015633807252387,0.017661296023397187,11,134,68,1659,0.09082952240604268
yellow,Nucleoplasm,1.539218327763573,0.01739090017870462,45,134,422,1659,0.09082952240604268
blue,Plasma membrane,1.5912006038201256,0.01588456127518171,36,229,186,1659,0.09082952240604268
brown,Nucleoplasm,1.403707224545725,0.02316744402103566,65,207,422,1659,0.11120373130097118
blue,Vesicles,1.5065886071344832,0.04600935945092514,28,229,149,1659,0.1971685384896241
brown,Plasma membrane,1.4734767838679386,0.046553682698939024,31,207,186,1659,0.1971685384896241
blue,Cytoskeleton,1.6293623996774194,0.06725592946318784,16,229,79,1659,0.26902371785275137
blue,Endoplasmic reticulum,1.43697742487902,0.07537428091023601,26,229,143,1659,0.2856288539756312
black,Nucleoplasm,1.4908592577778683,0.08949327305560552,22,66,422,1659,0.32217578300017985
yellow,Plasma membrane,1.4359163871310205,0.10334838624661316,20,134,186,1659,0.35433732427410225
black,Golgi apparatus,1.5408302523967625,0.2840764603946345,4,66,68,1659,0.9297047794733494
brown,Vesicles,1.167694179575031,0.3029789487828714,21,207,149,1659,0.9484558396681192
yellow,Cytosol,0.7600705439974205,0.9382824531288392,44,134,641,1659,1
yellow,Endoplasmic reticulum,1.0466582346676745,0.4914502969194467,12,134,143,1659,1
yellow,Mitochondria,0.30992244121271567,0.9999864323181019,10,134,325,1659,1
yellow,Vesicles,0.9965319030849438,0.5527808631538071,12,134,149,1659,1
blue,Golgi apparatus,1.080113594988146,0.46774695096409835,10,229,68,1659,1
blue,Mitochondria,0.11034210997476358,0.9999999999999997,7,229,325,1659,1
blue,Nucleoplasm,0.7047667521338998,0.9830440074313624,46,229,422,1659,1
magenta,Cytoskeleton,1.115412197293524,0.5170445880462364,3,57,79,1659,1
magenta,Golgi apparatus,0.4092675095352664,0.9117582765986649,1,57,68,1659,1
magenta,Mitochondria,0,1,0,57,325,1659,1
magenta,Nucleoplasm,0.5399597852170394,0.9733786230389926,9,57,422,1659,1
magenta,Plasma membrane,1.1128527429153179,0.46061220131791736,7,57,186,1659,1
magenta,Vesicles,0.17553137223949897,0.9957517916403344,1,57,149,1659,1
turquoise,Cytoskeleton,0.47400036564126125,0.9858950292413031,7,276,79,1659,1
turquoise,Cytosol,0.5620665310737758,0.9999835702437929,77,276,641,1659,1
turquoise,Endoplasmic reticulum,0.1316994831036546,0.9999999922378139,4,276,143,1659,1
turquoise,Golgi apparatus,0.5641277586945236,0.952571744168778,7,276,68,1659,1
turquoise,Nucleoplasm,0.5681465992254318,0.9998053760696781,48,276,422,1659,1
turquoise,Plasma membrane,0.5729505073251054,0.9937331953442871,20,276,186,1659,1
turquoise,Vesicles,0.9069787855317909,0.6956833749157927,23,276,149,1659,1
black,Cytoskeleton,0.6153781761594481,0.833969862360334,2,66,79,1659,1
black,Cytosol,0.7868657356838402,0.849176020406234,22,66,641,1659,1
black,Mitochondria,0.7246238121431686,0.8627474272151932,10,66,325,1659,1
black,Plasma membrane,0.36705463642580033,0.9845133829394126,3,66,186,1659,1
black,Vesicles,0.824910358015795,0.7228681419507408,5,66,149,1659,1
brown,Cytoskeleton,0.36192780679517356,0.9929123534046546,4,207,79,1659,1
brown,Endoplasmic reticulum,0.44725768928114146,0.9961541521419817,9,207,143,1659,1
brown,Golgi apparatus,1.0731620286527048,0.4802836390495922,9,207,68,1659,1
brown,Mitochondria,0.16351116975346403,0.9999999999971558,9,207,325,1659,1
green,Cytoskeleton,0.4892328221464502,0.9381668584013991,3,121,79,1659,1
green,Cytosol,0.2395978515484917,0.9999999998286337,17,121,641,1659,1
green,Endoplasmic reticulum,0.16661381630370237,0.9998410688004702,2,121,143,1659,1
green,Golgi apparatus,0.5762954727047948,0.8864921227914255,3,121,68,1659,1
green,Nucleoplasm,0.49071010119956926,0.9987556745382005,18,121,422,1659,1
green,Plasma membrane,0.39378201784503447,0.9959107821214014,6,121,186,1659,1
green,Vesicles,0.41742528730062434,0.9890888905652768,5,121,149,1659,1
pink,Cytoskeleton,0,1,0,63,79,1659,1
pink,Cytosol,0.36192650195253995,0.9998097139479761,12,63,641,1659,1
pink,Endoplasmic reticulum,0.16524480014958745,0.9969507381457225,1,63,143,1659,1
pink,Golgi apparatus,0,1,0,63,68,1659,1
pink,Nucleoplasm,0.4154743420523283,0.9963691824731099,8,63,422,1659,1
pink,Plasma membrane,0.8281646301172046,0.7276463717580612,6,63,186,1659,1
pink,Vesicles,0.49673660632294564,0.9338230914829306,3,63,149,1659,1
red,Cytoskeleton,0.4936799298588388,0.9085300742556988,2,81,79,1659,1
red,Golgi apparatus,0.28203328059503335,0.9690805304228862,1,81,68,1659,1
red,Mitochondria,0,1,0,81,325,1659,1
red,Nucleoplasm,0.9591902930098438,0.6066374739088268,20,81,422,1659,1
red,Plasma membrane,0.8620264060087458,0.705795679861517,8,81,186,1659,1
red,Vesicles,0.37739335148048436,0.9822224023546999,3,81,149,1659,1
