power,r2,mean_k,slope,selected
1,-0.010391551471679469,1056.427412255568,18.8645777739706,FALSE
2,0.061440676750509585,553.0394143611986,-10.262185512042855,FALSE
3,0.3777385386822744,301.6331390331956,-11.044808614759592,FALSE
4,0.5052855764614604,170.79157866391185,-7.404258646811125,FALSE
5,0.5625741340376637,100.1123094195095,-5.192172890614769,FALSE
6,0.6119691236359066,60.6096920921725,-4.108591824966761,FALSE
7,0.6724244775221125,37.826943854333216,-3.509276287724416,FALSE
8,0.7229924139026295,24.297508452023937,-3.021230554996064,FALSE
9,0.7839081926224647,16.040226519737164,-2.5926197307875185,FALSE
10,0.8372496000509664,10.869164800133595,-2.3067111984809645,FALSE
11,0.8502391747295468,7.5510243677907125,-2.4102327294707857,FALSE
12,0.8744338123647752,5.372128282730392,-2.4180057151979444,TRUE
13,0.9024244842291573,3.909575724080588,-2.357370603866728,FALSE
14,0.9070890059768486,2.907116874541283,-2.3203919211980444,FALSE
15,0.9124856044830542,2.206179068599348,-2.2715689896916498,FALSE
16,0.8877858013374956,1.7066611488279309,-2.2215448553457176,FALSE
17,0.35338181410929315,1.3441687999306944,-3.3416676759142656,FALSE
18,0.35280077384826114,1.076528159634304,-3.1837212824378183,FALSE
19,0.3516069130226575,0.8756429479439464,-3.0440181137650706,FALSE
20,0.3508684333096238,0.7224886334264977,-2.9235145075243207,FALSE
