cluster,theme,n_proteins
C1,Other,120
C1,Muscle Structure & Myogenesis,96
C1,ECM & Tissue Remodeling,12
C1,Cytoskeletal & Cell Division,11
C1,Intracellular Transport & Signaling,6
C1,Metabolic & Redox Regulation,3
C2,Other,271
C2,Proteostasis & Stress Response,67
C2,Intracellular Transport & Signaling,47
C2,Cytoskeletal & Cell Division,26
C2,Immune & Complement,5
C2,Metabolic & Redox Regulation,1
C3,Mitochondrial & Energy Metabolism,269
C3,Other,88
C3,Metabolic & Redox Regulation,57
C3,Intracellular Transport & Signaling,8
C4,Other,105
C4,Metabolic & Redox Regulation,103
C4,Immune & Complement,76
C4,Mitochondrial & Energy Metabolism,8
C4,Intracellular Transport & Signaling,4
