pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,cluster,Description,geneID,Count,p.adjust,ID
GOBP_MUSCLE_SYSTEM_PROCESS,8.002848921166709e-10,1.1644145180297563e-7,2.171801122931442,55,141,GO:BP,3.242383544214321,C1,Muscle System Process,ACTA1/ACTN3/ASPH/CALD1/CALM1/CAMK2G/CAV1/COL6A1/DES/EMD/HMOX1/JPH1/JPH2/LMNA/LMOD2/LMOD3/MYBPH/MYH1/MYH11/MYH13/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL2/MYL3/MYL6/MYL6B/MYL9/MYOM2/MYOT/MYOZ1/MYOZ2/PARP1/PDLIM5/PPP3CA/SRSF1/SYNM/TCAP/TMEM38A/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TRDN/TTN,55,1.1644145180297563e-7,GOBP_MUSCLE_SYSTEM_PROCESS
HALLMARK_MYOGENESIS,4.3029443612699396e-10,1.8072366317333746e-8,2.432493932038835,45,103,Hallmark,3.881599023497101,C1,Myogenesis,ACTA1/ACTN2/ACTN3/COL15A1/COL1A1/COL3A1/COL4A2/COL6A2/COL6A3/DES/GABARAPL2/ITGA7/LAMA2/LDB3/MYBPH/MYH1/MYH11/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL2/MYL3/MYL6B/MYOM1/MYOM2/MYOZ1/PDLIM7/PVALB/SH3BGR/SORBS1/SPEG/SVIL/TAGLN/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM2/TPM3,45,1.8072366317333746e-8,HALLMARK_MYOGENESIS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.4420728583888279e-6,3.0283530026165384e-5,2.667860243055556,23,48,Hallmark,4.406315789473684,C1,Epithelial Mesenchymal Transition,BGN/CALD1/CAP2/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL6A2/COL6A3/FBLN2/FBN1/LAMA2/LAMC1/LGALS1/LUM/MYL9/NID2/TAGLN/TGM2/TPM1/TPM2/VIM,23,3.0283530026165384e-5,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
HALLMARK_APICAL_JUNCTION,0.0014984004585017485,0.020977606419024478,2.121031746031746,16,42,Hallmark,2.8896321070234112,C1,Apical Junction,ACTA1/ACTB/ACTN1/ACTN2/ACTN3/ACTN4/ARPC2/CAP1/FBN1/MYL9/NECTIN1/NEXN/PARVA/SPEG/VWF/YWHAH,16,0.020977606419024478,HALLMARK_APICAL_JUNCTION
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,2.2765433067910405e-17,9.56148188852237e-16,3.4997023809523804,44,70,KEGG,8.600904977375565,C1,Reference Translation Initiation,RPL10/RPL10A/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL27A/RPL28/RPL29/RPL30/RPL31/RPL32/RPL34/RPL35/RPL36/RPL37A/RPL4/RPL5/RPL6/RPL7/RPL8/RPLP0/RPLP1/RPLP2/RPS12/RPS14/RPS15/RPS17/RPS18/RPS19/RPS21/RPS28/RPS3A/RPS5/RPSA,44,9.56148188852237e-16,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1.1403239525503804e-18,4.937602714543147e-16,3.470779220779221,48,77,Reactome,8.497536945812808,C1,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,EIF2S1/EIF2S2/RPL10/RPL10A/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL27A/RPL28/RPL29/RPL30/RPL31/RPL32/RPL34/RPL35/RPL36/RPL36AL/RPL37A/RPL3L/RPL4/RPL5/RPL6/RPL7/RPL8/RPLP0/RPLP1/RPLP2/RPS12/RPS14/RPS15/RPS17/RPS18/RPS19/RPS21/RPS28/RPS3A/RPS5/RPSA,48,4.937602714543147e-16,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY
REACTOME_RRNA_PROCESSING,2.4927388048987438e-18,5.39677951260578e-16,3.4262820512820515,48,78,Reactome,8.209523809523809,C1,Rrna Processing,NCL/RPL10/RPL10A/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL27A/RPL28/RPL29/RPL30/RPL31/RPL32/RPL34/RPL35/RPL36/RPL36AL/RPL37A/RPL3L/RPL4/RPL5/RPL6/RPL7/RPL8/RPLP0/RPLP1/RPLP2/RPS12/RPS14/RPS15/RPS17/RPS18/RPS19/RPS21/RPS28/RPS3A/RPS5/RPSA/UTP15,48,5.39677951260578e-16,REACTOME_RRNA_PROCESSING
REACTOME_STRIATED_MUSCLE_CONTRACTION,5.31370687638037e-18,7.669450258242335e-16,5.1700148809523805,26,28,Reactome,63.62011173184357,C1,Striated Muscle Contraction,ACTA1/ACTN2/ACTN3/DES/MYBPC1/MYBPC2/MYH3/MYH8/MYL1/MYL2/MYL3/NEB/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN/VIM,26,7.669450258242335e-16,REACTOME_STRIATED_MUSCLE_CONTRACTION
REACTOME_MUSCLE_CONTRACTION,2.7083697449806126e-10,1.066112817796914e-8,2.7838541666666665,36,72,Reactome,4.936781609195402,C1,Muscle Contraction,ACTA1/ACTN2/ACTN3/ASPH/CALD1/CALM1/CAMK2G/DES/MYBPC1/MYBPC2/MYH11/MYH3/MYH8/MYL1/MYL2/MYL3/MYL6/MYL6B/MYL9/NEB/SORBS1/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TRDN/TTN/VIM,36,1.066112817796914e-8,REACTOME_MUSCLE_CONTRACTION
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,7.604649863959513e-10,2.744011159245391e-8,2.2535962301587302,51,126,Reactome,3.4285885885885885,C1,Signaling By Robo Receptors,CAP1/CAP2/COL4A5/ELOB/ELOC/RPL10/RPL10A/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL27A/RPL28/RPL29/RPL30/RPL31/RPL32/RPL34/RPL35/RPL36/RPL36AL/RPL37A/RPL3L/RPL4/RPL5/RPL6/RPL7/RPL8/RPLP0/RPLP1/RPLP2/RPS12/RPS14/RPS15/RPS17/RPS18/RPS19/RPS21/RPS28/RPS3A/RPS5/RPSA,51,2.744011159245391e-8,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
REACTOME_ECM_PROTEOGLYCANS,7.54819853997844e-9,2.514130744469742e-7,4.242063492063492,16,21,Reactome,15.208695652173914,C1,Ecm Proteoglycans,BGN/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/HSPG2/ITGA7/LAMA2/LAMB2/LAMC1/LUM,16,2.514130744469742e-7,REACTOME_ECM_PROTEOGLYCANS
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,3.9949470916752625e-7,1.2355800647824204e-5,3.897395833333334,14,20,Reactome,11.023423423423424,C1,Integrin Cell Surface Interactions,COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/FBN1/HSPG2/ITGA7/LUM/VWF,14,1.2355800647824204e-5,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
GOSLIM_PROTEIN_FOLDING,1.784963143400978e-5,4.8194004871826405e-4,1.7721728833629364,42,90,GO Slim,2.564539347408829,C2,Protein Folding,CALR/CANX/CCT6A/CRYAB/HSPA4/HSPA8/HSP90AA1/HSP90AB1/P4HB/PFDN5/PPIA/PPIB/PPID/TCP1/HSP90B1/CCT3/KHSRP/PDIA4/HYOU1/CCT7/CCT4/CCT2/AHSA1/CCT8/NUDC/CCT5/ERP44/GRPEL1/TXNDC5/TBCB/HSPA5/B2M/DNAJB2/HSPA1A/HSPA2/HSPB1/HSPB2/DNAJA2/HSPA14/DNAJA4/HSPB6/UNC45B,42,4.8194004871826405e-4,GOSLIM_PROTEIN_FOLDING
GOSLIM_MICROTUBULE-BASED_MOVEMENT,1.0697692616726582e-4,0.0014441885032580885,1.9778715216104206,25,48,GO Slim,3.1356069177307258,C2,Microtubule-Based Movement,DYNC1I2/DYNC1LI2/KIF5B/KLC1/KTN1/DYNLT1/DYNC1LI1/KPNB1/ARL8B/DYNC1H1/PAFAH1B1/ACTR2/MAPT/UCHL1/SYNE2/TUBB4B/DYNLL1/ARL3/MAP4/FYCO1/COPG1/RAB6A/HNRNPU/HSPB1/LAMP1,25,0.0014441885032580885,GOSLIM_MICROTUBULE-BASED_MOVEMENT
GOSLIM_CILIUM_ORGANIZATION,8.526508997600747e-4,0.007364666601616946,2.0951797635817972,16,29,GO Slim,3.5145549149205455,C2,Cilium Organization,DYNLL1/ARL3/SEPTIN7/FLNA/GSN/SEPTIN2/USP9X/SNAP29/ACTR2/EHD1/MAP4/SYNE2/GDI2/SEPTIN9/DCTN1/MAPRE1,16,0.007364666601616946,GOSLIM_CILIUM_ORGANIZATION
GOSLIM_CYTOPLASMIC_TRANSLATION,0.001091061718758066,0.007364666601616946,1.4930394255438661,46,117,GO Slim,1.884763124199744,C2,Cytoplasmic Translation,RPL3/RPL7A/RPL11/RPL26/RPL27/RPL35A/RPS2/RPS3/RPS4X/RPS6/RPS7/RPS8/RPS9/RPS10/RPS11/RPS13/RPS15A/RPS16/RPS20/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/SARS1/EIF2S3/EIF4B/EIF3A/EIF3B/EIF3C/EIF3F/EIF3G/EIF3H/EIF3K/EIF3L/EEF1D/EIF2B1/ETF1/EIF4G1/AKT2/DHX9/HNRNPU/YBX1/YBX3/SYNCRIP,46,0.007364666601616946,GOSLIM_CYTOPLASMIC_TRANSLATION
GOSLIM_TELOMERE_ORGANIZATION,0.0033239346092304688,0.016913599078215207,1.8987566607460036,16,32,GO Slim,2.850091407678245,C2,Telomere Organization,APEX1/PRKDC/UCHL5/HSP90AA1/HSP90AB1/MAPK1/HNRNPA1/HNRNPU/CCT6A/TCP1/CCT3/CCT7/CCT4/CCT2/CCT8/CCT5,16,0.016913599078215207,GOSLIM_TELOMERE_ORGANIZATION
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,0.0037585775729367128,0.016913599078215207,1.5870204925638238,28,67,GO Slim,2.0612508986340763,C2,Protein Localization To Plasma Membrane,AKT2/ANK3/ATP1B1/FLNA/S100A10/SCP2/SPTBN1/EZR/SLMAP/SEC23A/ARL6IP5/RAB10/EHD1/ACSL3/GORASP2/SCARB2/RAB7A/CAMK2B/CAMK2D/CSRP3/STX7/APPL1/AP2M1/CLTC/PICALM/ITGB1/KIF5B/LGALS3,28,0.016913599078215207,GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE
GOSLIM_RIBOSOME_BIOGENESIS,0.006364942554650813,0.024550492710795995,1.5989529774703188,24,57,GO Slim,2.0806206780232754,C2,Ribosome Biogenesis,CUL4A/RPL11/RPS27/RAN/PRKDC/RPS8/RPS16/RPL7A/RPL26/RPL27/RPL35A/RPS6/RPS7/RPS24/RPS25/SBDS/EIF1AX/RPS4X/RPS9/RPS11/RPS13/RPS15A/RPS23/RPS27A,24,0.024550492710795995,GOSLIM_RIBOSOME_BIOGENESIS
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,6.622194473195573e-6,0.007295033228353362,1.814367475823959,43,90,GO:BP,2.688379705400982,C2,Regulation Of Protein Catabolic Process,ANXA2/ARAF/BAG6/BCAP31/CSNK2B/CST3/CUL4A/DDB1/DDRGK1/DNAJB2/EEF1A1/EEF1A2/EIF3H/EZR/FLNA/HGS/HSP90AA1/HSP90AB1/HSPA1A/IDE/KLHL40/MSN/PRKACA/PSMC1/PSMC2/PSMC4/PSMC5/PSMC6/PSMD14/PSMD3/PSME1/PSME2/RAB7A/RPL11/SEC22B/STUB1/TMX1/UBQLN2/UCHL5/USP5/USP9X/VCP/VPS28,43,0.007295033228353362,GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS
