"Group","n","mean","sd","sem","shapiro_p","t_test_p"
"Young",17,217658.101764706,42922.5057447456,10410.2367589275,0.505766491328304,0.770720835814133
"Old",15,211904.046228677,63961.6607283764,16514.8297864514,0.988399773207149,0.770720835814133
