"test","Group","statistic","p_value","df","mean_diff","ci_lo","ci_hi","shapiro_p"
"paired_t_young","Young",6.55900186025861,6.57814233487256e-06,16,0.46764705882353,0.316500969938879,0.61879314770818,0.154019706948298
"paired_t_old","Old",5.27132264595624,0.00011816977551927,14,0.204666666666667,0.121392245499539,0.287941087833794,0.628876363010418
"unpaired_t_delta","Young vs Old",3.23928168359076,0.00343861635736173,24.4402387953263,-0.262980392156863,0.0955828026178479,0.430377981695878,NA
