"Variable","Young (n=17)","Old (n=15)","p"
"Age (y)","21.9 ± 2.5","57.5 ± 6.9","<0.001"
"Body mass (kg)","79.6 ± 13.3","92.3 ± 10.6","0.005"
"BMI (kg/m²)","24.5 ± 2.8","28.7 ± 2.9","<0.001"
"Training volume, 12 wk (×10⁵ kg)","2.2 ± 0.4","2.1 ± 0.6","0.771"
