"contrast","n_up","n_down","n_total","label"
"Aging",80,116,196,"n = 196  (80↑  116↓)"
"Training_Young",44,56,100,"n = 100  (44↑  56↓)"
"Training_Old",8,10,18,"n = 18  (8↑  10↓)"
"Interaction",29,5,34,"n = 34  (29↑  5↓)"
