gene,pct_of_intensity
MB,16.536341245076667
CKM,7.0373779667069964
ACTA1,4.044125733738821
ALDOA,3.755975993665823
GAPDH,3.595145735225389
ACTB,2.95129959332647
CKB,2.9297780214657414
CA3,2.672398775278467
FHL1,2.2740503704623523
MYL1,2.20315025968013
MYH2,1.5290402881803011
ENO3,1.4802262662457344
ENO2,1.4669210236790104
ENO1,1.313410184899802
CRYAB,1.1520639150251974
