compartment,n_in_set,n_detected,pct_of_proteome,pct_of_intensity
contractile,339,167,7.929724596391263,28.733151904665895
mitochondrion,1782,608,28.869895536562204,20.144367273667775
glycolysis,200,64,3.038936372269706,13.869257995742645
sarcoplasmic_reticulum,17,12,0.5698005698005698,0.9245782708071456
cytosolic_ribosome,121,82,3.89363722697056,0.7853573831412592
