"method","n_surviving","top1","top2","top3","databases","n_unique_genes_top3","pct_gobp","pct_hallmark","pct_reactome","pct_kegg"
"M0_raw_no_dedup",12,"MUSCLE CELL DIFFERENTIATION","MYOFIBRIL ASSEMBLY","SARCOMERE ORGANIZATION","GO:BP, KEGG, Reactome",39,83.3333333333333,0,8.33333333333333,8.33333333333333
"M1_Jaccard",9,"MUSCLE CELL DIFFERENTIATION","MYOFIBRIL ASSEMBLY","MUSCLE CELL DEVELOPMENT","GO:BP, KEGG, Reactome",39,77.7777777777778,0,11.1111111111111,11.1111111111111
"M2_rrvgo_Jaccard",6,"MUSCLE CELL DIFFERENTIATION","STRIATED MUSCLE CONTRACTION","ACTOMYOSIN STRUCTURE ORGANIZATION","GO:BP, KEGG, Reactome",47,66.6666666666667,0,16.6666666666667,16.6666666666667
"M3_collapsePathways",6,"MYOFIBRIL ASSEMBLY","STRIATED MUSCLE CELL DIFFERENTIATION","STRIATED MUSCLE CONTRACTION","GO:BP, Reactome",40,83.3333333333333,0,16.6666666666667,0
