gene,uniprot_id,set,t_source,t_training_old,logFC_Aging,logFC_Training_Old,pi_score_Aging
PDLIM1,O00151,aging_up,4.851657729455501,-0.7280512129513815,0.9989612842528288,-0.12957904273229914,8.70240545530446e-6
MAPK13,O15264,aging_up,2.7571518912273865,-1.4979926627286992,0.7001867210680714,-0.2493824526358992,0.04307754958993577
AKR7A2,O43488,aging_up,4.670732048128889,-0.06259965767616578,0.4509789734468832,-0.00522465519616943,0.00698220621174302
CP,P00450,aging_up,3.63605181530211,-0.21158713474277943,0.6380415129227082,-0.02912522737198486,0.00896665796096056
LRG1,P02750,aging_up,4.2275378355835995,-2.3254306251003265,1.0813507185010742,-0.4159256673111216,5.442333342280636e-5
MT2A,P02795,aging_up,3.267032537283928,-2.827228202331114,0.7150612848227063,-0.5348906483378961,0.01078103270488415
SOD2,P04179,aging_up,4.62995393202001,-0.4050399470697168,0.8148801907121594,-0.06162107689370799,1.4325699882155994e-4
CLEC3B,P05452,aging_up,3.001104676142179,-0.4621984013777709,0.6904140773448404,-0.07320445021140998,0.02321152341240139
CTSD,P07339,aging_up,4.552416577404395,-1.7139794247806373,0.4829905638354539,-0.1571869870936986,0.00602266526284424
CA3,P07451,aging_up,5.394503936916421,-0.877043758609187,0.6502044428421989,-0.091376394147467,1.3663148945689284e-4
PSAP,P07602,aging_up,5.068255980045,-1.2510510503465966,0.6904848261645036,-0.14732788864817792,1.832674225391682e-4
HMGB1,P09429,aging_up,4.170439160145062,-1.3841723342928656,0.4161063571911328,-0.11937875935343456,0.02130100135072116
CLU,P10909,aging_up,2.8572954647108406,-0.4904094966471924,0.6280191667989534,-0.09171604712044255,0.03953810286539237
ETFA,P13804,aging_up,3.855124860054979,-0.9418883246286892,0.4735317385447466,-0.1000056169607042,0.02068018721137923
MAOA,P21397,aging_up,4.960298187381708,-1.4250033379059144,0.7813445564698647,-0.1940282752457172,8.068456540184815e-5
ACAT1,P24752,aging_up,4.4819482925196015,-1.3236458805914568,0.4399128216368453,-0.11230159541257125,0.01060676273651771
MPST,P25325,aging_up,3.9083923891471497,-2.770789446429844,0.433731740226019,-0.26579019270803883,0.02669441791729886
HMGB2,P26583,aging_up,5.4341698746194185,-1.7662498127463768,0.7525475618568294,-0.2047640401856796,3.2716345234960916e-5
MAOB,P27338,aging_up,4.5027923190584955,-1.717502114446311,0.5542596359396583,-0.1827439262552204,0.00312326414198528
ALDH4A1,P30038,aging_up,3.859407468697539,-0.5660550436566684,0.4207698832575524,-0.05334540472885152,0.03167093172807535
LRPAP1,P30533,aging_up,3.800964404988173,-0.03350121062920053,0.6275557630069066,-0.00415396805729173,0.00771755758475012
LONP1,P36776,aging_up,4.139432799017249,-0.03833228852851943,0.4713460956313327,-0.00377292490673397,0.01343315190254204
ETFB,P38117,aging_up,3.9746770104621336,-0.3660426252450782,0.5466300848199843,-0.04351486939026827,0.00914816224165967
