set,n,direction,PValue,PValue.Mixed,expected,consistent,cor_within,circularity_r
aging_up,80,Down,0.027391817261776513,0.008138213471963926,Down,TRUE,0.26173586204618005,-0.33555832612280895
aging_down,116,Up,0.09746706115367647,0.14760080656498514,Up,TRUE,0.26173586204618005,-0.33555832612280895
