"contrast","type","sig.PVal","sig.FDR","pval_thresh","lfc_thresh","p_adj_method"
"Baseline_arm","down","88","0",0.05,0,"BH"
"Baseline_arm","nonsig","1729","1920",0.05,0,"BH"
"Baseline_arm","up","103","0",0.05,0,"BH"
"Training_BRJ","down","48","0",0.05,0,"BH"
"Training_BRJ","nonsig","1818","1920",0.05,0,"BH"
"Training_BRJ","up","54","0",0.05,0,"BH"
"Training_PLA","down","36","0",0.05,0,"BH"
"Training_PLA","nonsig","1855","1920",0.05,0,"BH"
"Training_PLA","up","29","0",0.05,0,"BH"
"Arm_x_Training","down","26","0",0.05,0,"BH"
"Arm_x_Training","nonsig","1852","1920",0.05,0,"BH"
"Arm_x_Training","up","42","0",0.05,0,"BH"
