pathway,pathway_label,database,NES_Training_Young,NES_Training_Old,padj_Training_Young,padj_Training_Old,significance,set_size
GOSLIM_TELOMERE_ORGANIZATION,Telomere Organization,GO Slim,1.503,1.561,0.09132,0.05637,NS,32
GOSLIM_VITAMIN_METABOLIC_PROCESS,Vitamin Metabolic Process,GO Slim,1.324,-1.631,0.2654,0.06694,NS,16
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,1.416,1.458,0.2146,0.2654,NS,28
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,-1.609,-1.239,0.1105,0.4417,NS,22
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,1.624,1.171,0.06296,0.4696,NS,33
GOSLIM_CYTOKINESIS,Cytokinesis,GO Slim,1.463,1.298,0.0952,0.2403,NS,39
HALLMARK_HYPOXIA,Hypoxia,Hallmark,1.198,1.423,0.3994,0.2305,NS,57
HALLMARK_COAGULATION,Coagulation,Hallmark,1.251,1.352,0.3994,0.3232,NS,29
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,-1.73,-0.873,0.06296,0.7985,NS,17
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,1.063,1.489,0.5478,0.2288,NS,40
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,-1.11,-1.423,0.4882,0.281,NS,22
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,-1.148,-1.264,0.4424,0.4341,NS,28
GOSLIM_DNA_RECOMBINATION,DNA Recombination,GO Slim,-1.313,-1.028,0.2066,0.6477,NS,35
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,-1.185,-1.122,0.4172,0.4696,NS,48
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,0.878,1.429,0.7852,0.281,NS,17
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,0.906,-1.384,0.7852,0.281,NS,33
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Hallmark,-1.179,-1.096,0.4424,0.5782,NS,10
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,Nucleocytoplasmic Transport,GO Slim,1.17,1.089,0.3416,0.5775,NS,67
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-1.394,-0.841,0.2821,0.7985,NS,14
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Hallmark,1.27,-0.963,0.3994,0.7028,NS,14
