pathway_label,pathway_padj,pathway_db,n_overlap,mean_logFC,direction
Sarcomere Org.,1.9829471688830512e-11,GO:BP,17,-1.3445292112467249,Down
Striated Muscle,1.934597901468895e-8,Reactome,14,-1.33164596682484,Down
Translation Init.,1.2763083035352763e-5,KEGG,16,-0.7098599725039709,Down
Myogenesis,1.5943181824993002e-4,Hallmark,19,-1.2174985238876839,Down
Eukaryotic Translation Elo..,2.0596466053684605e-4,Reactome,17,-0.6868661804865172,Down
Muscle System Process,3.162084535132101e-4,GO:BP,23,-1.210029432800753,Down
Muscle Contraction,4.876888715051844e-4,Reactome,15,-1.2921671738804816,Down
Cell Cell Communication,0.007142103670662007,Reactome,8,-1.3679969341753089,Down
Cytoplasmic Translation,0.02733627082507216,GO:BP,17,-0.6967340372758979,Down
Actin Movement,0.030739981667483172,GO:BP,9,-1.0786780272978613,Down
Sensory System Development,0.03670935823766049,GO:BP,8,-0.9215810460074847,Down
Fatty Acid Beta Oxidation,0.003343578805802894,GO:BP,8,0.4861501041859886,Up
Amino Acid Metabolic Process,0.008475460228087867,GO:BP,13,0.6193640162837849,Up
Mitochondrial Fatty Acid B..,0.04908769138650062,Reactome,6,0.552619067775756,Up
