gene,pathway_label,pathway_padj,pathway_db,primary_contrast,display_logFC
ACTN2,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-1.9872095944977597
CAPN3,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-0.5178410828913975
FLNC,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-0.7714671860683282
LMOD2,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-2.3470249931585663
MYBPC2,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-0.973830099508504
MYBPH,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-2.271898714197917
MYH3,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-1.417868592079948
MYOM1,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-0.7088567378618826
MYOM2,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-0.6941975547723018
MYOM3,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-1.349567778896077
MYOZ1,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-1.7906937944585444
OBSCN,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-1.0543244876057545
PLEC,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-0.966656336687148
SYNPO2L,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-1.872302048098632
TNNT3,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-1.1182638063247587
TPM1,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-1.2860653216220967
TTN,Sarcomere Org.,1.9829471688830512e-11,GO:BP,Aging,-1.7289284624647046
ACTN2,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.9872095944977597
ACTN3,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-2.1209979469089255
DES,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.53233978124031
MYBPC2,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-0.973830099508504
MYH3,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.417868592079948
MYL1,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-0.8969718374682252
NEB,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.507445658973733
TMOD4,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.0178488725744437
TNNI2,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.2030886627019264
TNNT3,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.1182638063247587
TPM1,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.2860653216220967
TPM2,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.075911338059953
TTN,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-1.7289284624647046
VIM,Striated Muscle,1.934597901468895e-8,Reactome,Aging,-0.7762735611224691
RPL17,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.4766915557207838
RPL22,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.5654295895612549
RPL23A,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.5823725360063108
RPL24,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.6620575709832046
RPL27,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-1.0883025188694582
RPL27A,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.6982301767351551
RPL34,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-1.0217571165058563
RPL35,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.5767398655005778
RPL35A,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.6944642130070804
RPL38,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.4930399949987603
RPS10,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.7644880729719823
RPS23,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.6403977697656522
RPS24,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.556206855411638
RPS27A,Translation Init.,1.2763083035352763e-5,KEGG,Aging,-0.9084085497652588
