"test","Group","n","statistic","p_value","df","mean_diff","ci_lo","ci_hi","shapiro_p"
"paired_t_young","Young",13,2.47802908436044,0.0290628558366825,12,572.085261566636,69.0779661996328,1075.09255693364,0.158997959578344
"paired_t_old","Old",10,-1.75727569644542,0.112745012158823,9,-722.6,-1652.80962455947,207.609624559473,0.485336464164219
"unpaired_t_delta","Young vs Old",23,2.74542435658255,0.015399032964439,14.4882690796857,-1294.68526156664,286.436818157853,2302.93370497542,NA
