gene,quadrant,sig_cat,pathway,logFC_Aging,logFC_Training_Old
PPP1R3A,Reversed Down,Aging,Carbohydrate & Energy Metabolism,-0.4884,0.1807
SLC25A11,Reversed Down,Aging,Carbohydrate & Energy Metabolism,-0.6337,0.0449
GLIPR2,Reversed Down,Tr.(O),Cytoskeleton & Motility,-0.1648,0.6061
FLNA,Reversed Down,Aging,Cytoskeleton & Motility,-0.5972,0.2681
CLIC4,Reversed Down,Aging,Cytoskeleton & Motility,-0.6364,0.2513
XIRP1,Reversed Down,Aging,Cytoskeleton & Motility,-0.7422,0.4335
FLNC,Reversed Down,Aging,Cytoskeleton & Motility,-0.7715,0.2074
UCHL1,Reversed Down,Aging,Cytoskeleton & Motility,-0.7716,0.1235
SYNPO2,Reversed Down,Aging,Cytoskeleton & Motility,-0.7731,0.0381
NRAP,Reversed Down,Aging,Cytoskeleton & Motility,-0.9158,0.3331
SYNPO2L,Reversed Down,Aging,Cytoskeleton & Motility,-1.8723,0.0881
PSMD14,Reversed Down,Aging,DNA & Cell Cycle,-0.3393,0.0496
BANF1,Reversed Down,Aging,DNA & Cell Cycle,-0.5677,0.2039
DCTN3,Reversed Down,Aging,DNA & Cell Cycle,-0.6514,0.2867
RPL24,Reversed Down,Aging,DNA & Cell Cycle,-0.6621,0.3749
CARM1,Reversed Down,Aging,DNA & Cell Cycle,-0.8574,0.4089
TTN,Reversed Down,Aging,DNA & Cell Cycle,-1.7289,0.0192
LRMDA,Reversed Down,Aging,Development,-0.5938,0.007
PTRH2,Reversed Down,Aging,Development,-1.1117,0.6267
CAST,Reversed Down,Aging,ECM & Adhesion,-0.4565,0.1903
CAPZA1,Reversed Down,Aging,ECM & Adhesion,-0.6419,0.1069
PREX1,Reversed Down,Aging,ECM & Adhesion,-0.8509,0.4452
MYOF,Reversed Down,Aging,ECM & Adhesion,-0.8997,0.0604
COL3A1,Reversed Down,Aging,ECM & Adhesion,-0.9727,0.3477
MYBPC2,Reversed Down,Aging,ECM & Adhesion,-0.9738,0.1112
TPM1,Reversed Down,Aging,ECM & Adhesion,-1.2861,0.2928
MYOZ1,Reversed Down,Aging,ECM & Adhesion,-1.7907,0.0799
ACTN1,Reversed Down,Aging,ECM & Adhesion,-2.0702,0.3837
MYBPH,Reversed Down,Both,ECM & Adhesion,-2.2719,1.7188
TRIM54,Reversed Down,Aging,Immune & Inflammation,-0.572,0.0863
FLNB,Reversed Down,Aging,Immune & Inflammation,-0.8128,0.2599
MARCHF5,Reversed Down,Aging,Mitochondria & Energy,-0.6028,0.0943
SCO1,Reversed Down,Aging,Mitochondria & Energy,-0.6167,0.2725
MYL1,Reversed Down,Aging,Muscle & Contractile,-0.897,0.3902
TMOD4,Reversed Down,Aging,Muscle & Contractile,-1.0178,0.2437
MYH2,Reversed Down,Aging,Muscle & Contractile,-1.0225,0.4676
TPM2,Reversed Down,Aging,Muscle & Contractile,-1.0759,0.256
TNNT3,Reversed Down,Aging,Muscle & Contractile,-1.1183,0.2885
LMOD2,Reversed Down,Aging,Muscle & Contractile,-2.347,0.1554
EEF1G,Reversed Down,Aging,Other,-0.319,0.1649
FSD2,Reversed Down,Aging,Other,-0.6159,0.13
PYURF,Reversed Down,Aging,Other,-0.8543,0.1383
MRPL9,Reversed Down,Aging,Other,-0.8953,0.3122
BZW1,Reversed Down,Aging,Other,-1.0144,0.0379
TNNI2,Reversed Down,Aging,Other,-1.2031,0.2667
TMX3,Reversed Down,Aging,Other,-1.3485,0.15310000000000001
PSMD7,Reversed Down,Aging,Protein Homeostasis,-0.6218,0.1782
KLHL40,Reversed Down,Aging,Protein Homeostasis,-1.0504,0.3361
DDI2,Reversed Down,Aging,Protein Homeostasis,-1.181,0.1426
MUSTN1,Reversed Down,Both,Protein Homeostasis,-1.3512,0.7719
CELF1,Reversed Down,Aging,Transcription & Chromatin,-0.6313,0.0683
RBM3,Reversed Down,Aging,Transcription & Chromatin,-0.6776,0.0321
VIM,Reversed Down,Aging,Transcription & Chromatin,-0.7763,0.1841
CAPRIN1,Reversed Down,Aging,Transcription & Chromatin,-0.9031,0.2797
FLT1,Reversed Down,Aging,Transcription & Chromatin,-1.0202,0.0424
OBSCN,Reversed Down,Aging,Transcription & Chromatin,-1.0543,0.0452
HAT1,Reversed Down,Aging,Transcription & Chromatin,-1.6441,0.7981
THRB,Reversed Down,Aging,Transcription & Chromatin,-1.685,0.2702
RPS3A,Reversed Down,Aging,Translation & Ribosome,-0.4235,0.2683
NARS1,Reversed Down,Aging,Translation & Ribosome,-0.4383,0.0157
RPL17,Reversed Down,Aging,Translation & Ribosome,-0.4767,0.1413
EIF3C,Reversed Down,Aging,Translation & Ribosome,-0.4867,0.1632
RPL38,Reversed Down,Aging,Translation & Ribosome,-0.493,0.1238
RPS24,Reversed Down,Aging,Translation & Ribosome,-0.5562,0.036
RPL22,Reversed Down,Aging,Translation & Ribosome,-0.5654,0.3842
RPL35,Reversed Down,Aging,Translation & Ribosome,-0.5767,0.2435
RPL23A,Reversed Down,Aging,Translation & Ribosome,-0.5824,0.2539
RPS23,Reversed Down,Aging,Translation & Ribosome,-0.6404,0.0814
